								
Compare cell means with others in its row and its column								
								
Number of families	7							
Number of comparisons per row family	1							
Number of comparisons per column family	10							
Alpha	0.05							
								
Tukey's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  ISS								
    0 h vs. 19 h	-0.0006333	-0.03022 to 0.02895	No	ns	0.9648			
								
  CM								
    0 h vs. 19 h	-0.4701	-0.4997 to -0.4405	Yes	****	<0.0001			
								
  20%TE								
    0 h vs. 19 h	-0.3028	-0.3324 to -0.2732	Yes	****	<0.0001			
								
  40%TE								
    0 h vs. 19 h	-0.3583	-0.3879 to -0.3287	Yes	****	<0.0001			
								
  60%TE								
    0 h vs. 19 h	-0.01890	-0.04849 to 0.01069	No	ns	0.1977			
								
  0 h								
    ISS vs. CM	-0.0004667	-0.04291 to 0.04198	No	ns	>0.9999			
    ISS vs. 20%TE	-0.0005667	-0.04301 to 0.04188	No	ns	>0.9999			
    ISS vs. 40%TE	-0.002233	-0.04468 to 0.04021	No	ns	0.9998			
    ISS vs. 60%TE	-0.0009333	-0.04338 to 0.04151	No	ns	>0.9999			
    CM vs. 20%TE	-1.000e-004	-0.04254 to 0.04234	No	ns	>0.9999			
    CM vs. 40%TE	-0.001767	-0.04421 to 0.04068	No	ns	>0.9999			
    CM vs. 60%TE	-0.0004667	-0.04291 to 0.04198	No	ns	>0.9999			
    20%TE vs. 40%TE	-0.001667	-0.04411 to 0.04078	No	ns	>0.9999			
    20%TE vs. 60%TE	-0.0003667	-0.04281 to 0.04208	No	ns	>0.9999			
    40%TE vs. 60%TE	0.001300	-0.04114 to 0.04374	No	ns	>0.9999			
								
  19 h								
    ISS vs. CM	-0.4699	-0.5123 to -0.4275	Yes	****	<0.0001			
    ISS vs. 20%TE	-0.3027	-0.3452 to -0.2603	Yes	****	<0.0001			
    ISS vs. 40%TE	-0.3599	-0.4024 to -0.3175	Yes	****	<0.0001			
    ISS vs. 60%TE	-0.01920	-0.06164 to 0.02324	No	ns	0.6625			
    CM vs. 20%TE	0.1672	0.1247 to 0.2096	Yes	****	<0.0001			
    CM vs. 40%TE	0.1100	0.06752 to 0.1524	Yes	****	<0.0001			
    CM vs. 60%TE	0.4507	0.4083 to 0.4931	Yes	****	<0.0001			
    20%TE vs. 40%TE	-0.05720	-0.09964 to -0.01476	Yes	**	0.0052			
    20%TE vs. 60%TE	0.2835	0.2411 to 0.3260	Yes	****	<0.0001			
    40%TE vs. 60%TE	0.3407	0.2983 to 0.3832	Yes	****	<0.0001			
								
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	N1	N2	q	DF
								
  ISS								
    0 h vs. 19 h	0.002600	0.003233	-0.0006333	0.01418	3	3	0.06315	20.00
								
  CM								
    0 h vs. 19 h	0.003067	0.4731	-0.4701	0.01418	3	3	46.87	20.00
								
  20%TE								
    0 h vs. 19 h	0.003167	0.3060	-0.3028	0.01418	3	3	30.19	20.00
								
  40%TE								
    0 h vs. 19 h	0.004833	0.3632	-0.3583	0.01418	3	3	35.73	20.00
								
  60%TE								
    0 h vs. 19 h	0.003533	0.02243	-0.01890	0.01418	3	3	1.884	20.00
								
  0 h								
    ISS vs. CM	0.002600	0.003067	-0.0004667	0.01418	3	3	0.04653	20.00
    ISS vs. 20%TE	0.002600	0.003167	-0.0005667	0.01418	3	3	0.05650	20.00
    ISS vs. 40%TE	0.002600	0.004833	-0.002233	0.01418	3	3	0.2227	20.00
    ISS vs. 60%TE	0.002600	0.003533	-0.0009333	0.01418	3	3	0.09306	20.00
    CM vs. 20%TE	0.003067	0.003167	-1.000e-004	0.01418	3	3	0.009971	20.00
    CM vs. 40%TE	0.003067	0.004833	-0.001767	0.01418	3	3	0.1761	20.00
    CM vs. 60%TE	0.003067	0.003533	-0.0004667	0.01418	3	3	0.04653	20.00
    20%TE vs. 40%TE	0.003167	0.004833	-0.001667	0.01418	3	3	0.1662	20.00
    20%TE vs. 60%TE	0.003167	0.003533	-0.0003667	0.01418	3	3	0.03656	20.00
    40%TE vs. 60%TE	0.004833	0.003533	0.001300	0.01418	3	3	0.1296	20.00
								
  19 h								
    ISS vs. CM	0.003233	0.4731	-0.4699	0.01418	3	3	46.85	20.00
    ISS vs. 20%TE	0.003233	0.3060	-0.3027	0.01418	3	3	30.18	20.00
    ISS vs. 40%TE	0.003233	0.3632	-0.3599	0.01418	3	3	35.89	20.00
    ISS vs. 60%TE	0.003233	0.02243	-0.01920	0.01418	3	3	1.914	20.00
    CM vs. 20%TE	0.4731	0.3060	0.1672	0.01418	3	3	16.67	20.00
    CM vs. 40%TE	0.4731	0.3632	0.1100	0.01418	3	3	10.96	20.00
    CM vs. 60%TE	0.4731	0.02243	0.4507	0.01418	3	3	44.94	20.00
    20%TE vs. 40%TE	0.3060	0.3632	-0.05720	0.01418	3	3	5.703	20.00
    20%TE vs. 60%TE	0.3060	0.02243	0.2835	0.01418	3	3	28.27	20.00
    40%TE vs. 60%TE	0.3632	0.02243	0.3407	0.01418	3	3	33.97	20.00
