								
Compare cell means with others in its row and its column								
								
Number of families	7							
Number of comparisons per row family	10							
Number of comparisons per column family	1							
Alpha	0.05							
								
Tukey's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  0 h								
    ISS vs. 10%TE	-0.001067	-0.09701 to 0.09488	No	ns	>0.9999			
    ISS vs. 20%TE	0.002667	-0.09328 to 0.09861	No	ns	>0.9999			
    ISS vs. 40%TE	0.002567	-0.09338 to 0.09851	No	ns	>0.9999			
    ISS vs. 60%TE	0.002833	-0.09311 to 0.09878	No	ns	>0.9999			
    10%TE vs. 20%TE	0.003733	-0.09221 to 0.09968	No	ns	>0.9999			
    10%TE vs. 40%TE	0.003633	-0.09231 to 0.09958	No	ns	>0.9999			
    10%TE vs. 60%TE	0.003900	-0.09205 to 0.09985	No	ns	>0.9999			
    20%TE vs. 40%TE	-0.0001000	-0.09605 to 0.09585	No	ns	>0.9999			
    20%TE vs. 60%TE	0.0001667	-0.09578 to 0.09611	No	ns	>0.9999			
    40%TE vs. 60%TE	0.0002667	-0.09568 to 0.09621	No	ns	>0.9999			
								
  19 h								
    ISS vs. 10%TE	-0.05877	-0.1547 to 0.03718	No	ns	0.3834			
    ISS vs. 20%TE	-0.1580	-0.2540 to -0.06209	Yes	***	0.0007			
    ISS vs. 40%TE	-0.3191	-0.4150 to -0.2231	Yes	****	<0.0001			
    ISS vs. 60%TE	-0.3087	-0.4046 to -0.2127	Yes	****	<0.0001			
    10%TE vs. 20%TE	-0.09927	-0.1952 to -0.003320	Yes	*	0.0404			
    10%TE vs. 40%TE	-0.2603	-0.3562 to -0.1644	Yes	****	<0.0001			
    10%TE vs. 60%TE	-0.2499	-0.3458 to -0.1540	Yes	****	<0.0001			
    20%TE vs. 40%TE	-0.1610	-0.2570 to -0.06509	Yes	***	0.0006			
    20%TE vs. 60%TE	-0.1506	-0.2466 to -0.05469	Yes	**	0.0012			
    40%TE vs. 60%TE	0.01040	-0.08555 to 0.1063	No	ns	0.9974			
								
  ISS								
    0 h vs. 19 h	0.003067	-0.06382 to 0.06995	No	ns	0.9248			
								
  10%TE								
    0 h vs. 19 h	-0.05463	-0.1215 to 0.01225	No	ns	0.1039			
								
  20%TE								
    0 h vs. 19 h	-0.1576	-0.2245 to -0.09075	Yes	****	<0.0001			
								
  40%TE								
    0 h vs. 19 h	-0.3186	-0.3855 to -0.2517	Yes	****	<0.0001			
								
  60%TE								
    0 h vs. 19 h	-0.3084	-0.3753 to -0.2415	Yes	****	<0.0001			
								
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	N1	N2	q	DF
								
  0 h								
    ISS vs. 10%TE	0.004067	0.005133	-0.001067	0.03206	3	3	0.04705	20.00
    ISS vs. 20%TE	0.004067	0.001400	0.002667	0.03206	3	3	0.1176	20.00
    ISS vs. 40%TE	0.004067	0.001500	0.002567	0.03206	3	3	0.1132	20.00
    ISS vs. 60%TE	0.004067	0.001233	0.002833	0.03206	3	3	0.1250	20.00
    10%TE vs. 20%TE	0.005133	0.001400	0.003733	0.03206	3	3	0.1647	20.00
    10%TE vs. 40%TE	0.005133	0.001500	0.003633	0.03206	3	3	0.1603	20.00
    10%TE vs. 60%TE	0.005133	0.001233	0.003900	0.03206	3	3	0.1720	20.00
    20%TE vs. 40%TE	0.001400	0.001500	-0.0001000	0.03206	3	3	0.004411	20.00
    20%TE vs. 60%TE	0.001400	0.001233	0.0001667	0.03206	3	3	0.007351	20.00
    40%TE vs. 60%TE	0.001500	0.001233	0.0002667	0.03206	3	3	0.01176	20.00
								
  19 h								
    ISS vs. 10%TE	0.001000	0.05977	-0.05877	0.03206	3	3	2.592	20.00
    ISS vs. 20%TE	0.001000	0.1590	-0.1580	0.03206	3	3	6.970	20.00
    ISS vs. 40%TE	0.001000	0.3201	-0.3191	0.03206	3	3	14.07	20.00
    ISS vs. 60%TE	0.001000	0.3097	-0.3087	0.03206	3	3	13.61	20.00
    10%TE vs. 20%TE	0.05977	0.1590	-0.09927	0.03206	3	3	4.378	20.00
    10%TE vs. 40%TE	0.05977	0.3201	-0.2603	0.03206	3	3	11.48	20.00
    10%TE vs. 60%TE	0.05977	0.3097	-0.2499	0.03206	3	3	11.02	20.00
    20%TE vs. 40%TE	0.1590	0.3201	-0.1610	0.03206	3	3	7.103	20.00
    20%TE vs. 60%TE	0.1590	0.3097	-0.1506	0.03206	3	3	6.644	20.00
    40%TE vs. 60%TE	0.3201	0.3097	0.01040	0.03206	3	3	0.4587	20.00
								
  ISS								
    0 h vs. 19 h	0.004067	0.001000	0.003067	0.03206	3	3	0.1353	20.00
								
  10%TE								
    0 h vs. 19 h	0.005133	0.05977	-0.05463	0.03206	3	3	2.410	20.00
								
  20%TE								
    0 h vs. 19 h	0.001400	0.1590	-0.1576	0.03206	3	3	6.953	20.00
								
  40%TE								
    0 h vs. 19 h	0.001500	0.3201	-0.3186	0.03206	3	3	14.05	20.00
								
  60%TE								
    0 h vs. 19 h	0.001233	0.3097	-0.3084	0.03206	3	3	13.60	20.00
